,card_name,card_img_url,series,ext_code,ext_name
0,#1 - Charizard,https://den-cards.pokellector.com/328/Charizard.S8A-P.1.40629.thumb.png,Sword & Shield Series,S8AP,25th Anniversary Promo Pack Set
1,#2 - Venusaur,https://den-cards.pokellector.com/328/Venusaur.S8A-P.2.39421.thumb.png,Sword & Shield Series,S8AP,25th Anniversary Promo Pack Set
2,#3 - Blastoise,https://den-cards.pokellector.com/328/Blastoise.S8A-P.3.40630.thumb.png,Sword & Shield Series,S8AP,25th Anniversary Promo Pack Set
3,#4 - Imposter Professor Oak,https://den-cards.pokellector.com/328/Imposter-Professor-Oak.S8A-P.4.39864.thumb.png,Sword & Shield Series,S8AP,25th Anniversary Promo Pack Set
4,#5 - Dark Gyarados,https://den-cards.pokellector.com/328/Gyarados.S8A-P.5.40632.thumb.png,Sword & Shield Series,S8AP,25th Anniversary Promo Pack Set
5,#6 - Here Comes Team Rocket,https://den-cards.pokellector.com/328/Team-Rocket.S8A-P.6.40633.thumb.png,Sword & Shield Series,S8AP,25th Anniversary Promo Pack Set
6,#7 - _______'s Pikachu,https://den-cards.pokellector.com/328/____s-Pikachu.S8A.7.39590.thumb.png,Sword & Shield Series,S8AP,25th Anniversary Promo Pack Set
7,#8 - Team Rocket's Zapdos,https://den-cards.pokellector.com/328/Team-Rockets-Zapdos.S8A-P.8.40634.thumb.png,Sword & Shield Series,S8AP,25th Anniversary Promo Pack Set
8,#9 - Cleffa,https://den-cards.pokellector.com/328/Cleffa.S8A-P.9.40635.thumb.png,Sword & Shield Series,S8AP,25th Anniversary Promo Pack Set
9,#10 - Shining Magikarp,https://den-cards.pokellector.com/328/Shining-Magikarp.S8A-P.10.40076.thumb.png,Sword & Shield Series,S8AP,25th Anniversary Promo Pack Set
10,#11 - Team Magma's Groudon,https://den-cards.pokellector.com/328/Team-Magmas-Groudon.S8A-P.11.40637.thumb.png,Sword & Shield Series,S8AP,25th Anniversary Promo Pack Set
11,#12 - Umbreon *,https://den-cards.pokellector.com/328/Umbreon-.S8A-P.12.40638.thumb.png,Sword & Shield Series,S8AP,25th Anniversary Promo Pack Set
12,#13 - Team Rocket Admin,https://den-cards.pokellector.com/328/Team-Rocket-Admin.S8A-P.13.40639.thumb.png,Sword & Shield Series,S8AP,25th Anniversary Promo Pack Set
13,#14 - Mew ex,https://den-cards.pokellector.com/328/Mew-ex.S8A-P.14.40640.thumb.png,Sword & Shield Series,S8AP,25th Anniversary Promo Pack Set
14,#15 - Gardevoir ex,https://den-cards.pokellector.com/328/Gardevoir-ex.S8A-P.15.40641.thumb.png,Sword & Shield Series,S8AP,25th Anniversary Promo Pack Set
15,#16 - Claydol,https://den-cards.pokellector.com/328/Claydol.S8A-P.16.40642.thumb.png,Sword & Shield Series,S8AP,25th Anniversary Promo Pack Set
16,#17 - Luxray GL Lv. X,https://den-cards.pokellector.com/328/Luxray-GL-Lv-X.S8A-P.17.40643.thumb.png,Sword & Shield Series,S8AP,25th Anniversary Promo Pack Set
17,#18 - Garchomp C LV.X,https://den-cards.pokellector.com/328/Garchomp-C-LVX.S8A-P.18.40365.thumb.png,Sword & Shield Series,S8AP,25th Anniversary Promo Pack Set
18,#19 - Donphan,https://den-cards.pokellector.com/328/Donphan.S8A-P.20.40645.thumb.png,Sword & Shield Series,S8AP,25th Anniversary Promo Pack Set
19,#20 - Reshiram,https://den-cards.pokellector.com/328/Reshiram.S8A-P.20.40646.thumb.png,Sword & Shield Series,S8AP,25th Anniversary Promo Pack Set
20,#21 - Zekrom,https://den-cards.pokellector.com/328/Zekrom.S8A-P.21.40647.thumb.png,Sword & Shield Series,S8AP,25th Anniversary Promo Pack Set
21,#22 - Mewtwo EX,https://den-cards.pokellector.com/328/Mewtwo-EX.S8A-P.22.40648.thumb.png,Sword & Shield Series,S8AP,25th Anniversary Promo Pack Set
22,#23 - Xerneas EX,https://den-cards.pokellector.com/328/Xerneas-EX.S8A-P.23.40649.thumb.png,Sword & Shield Series,S8AP,25th Anniversary Promo Pack Set
23,#24 - M Rayqauza EX,https://den-cards.pokellector.com/328/M-Rayqauza-EX.S8A-P.24.40515.thumb.png,Sword & Shield Series,S8AP,25th Anniversary Promo Pack Set
24,#25 - Tapu Lele GX,https://den-cards.pokellector.com/328/Tapu-Lele-GX.S8A-P.25.40512.thumb.png,Sword & Shield Series,S8AP,25th Anniversary Promo Pack Set
