,card_name,card_img_url,series,ext_code,ext_name
0,#1 - Caterpie,https://den-cards.pokellector.com/326/Caterpie.S8.1.40388.thumb.png,Sword & Shield Series,S8,Fusion ARTS Set
1,#2 - Metapod,https://den-cards.pokellector.com/326/Metapod.S8.2.40387.thumb.png,Sword & Shield Series,S8,Fusion ARTS Set
2,#3 - Butterfree,https://den-cards.pokellector.com/326/Butterfree.S8.3.40386.thumb.png,Sword & Shield Series,S8,Fusion ARTS Set
3,#4 - Shroomish,https://den-cards.pokellector.com/326/Shroomish.S8.4.40423.thumb.png,Sword & Shield Series,S8,Fusion ARTS Set
4,#5 - Breloom,https://den-cards.pokellector.com/326/Breloom.S8.5.40424.thumb.png,Sword & Shield Series,S8,Fusion ARTS Set
5,#6 - Maractus,https://den-cards.pokellector.com/326/Maractus.S8.6.40349.thumb.png,Sword & Shield Series,S8,Fusion ARTS Set
6,#7 - Shelmet,https://den-cards.pokellector.com/326/Shelmet.S8.7.40425.thumb.png,Sword & Shield Series,S8,Fusion ARTS Set
7,#8 - Accelgor,https://den-cards.pokellector.com/326/Accelgor.S8.8.40426.thumb.png,Sword & Shield Series,S8,Fusion ARTS Set
8,#9 - Virizion,https://den-cards.pokellector.com/326/Virizion.S8.9.40427.thumb.png,Sword & Shield Series,S8,Fusion ARTS Set
9,#10 - Grubbin,https://den-cards.pokellector.com/326/Grubbin.S8.10.40428.thumb.png,Sword & Shield Series,S8,Fusion ARTS Set
10,#11 - Tsareena V,https://den-cards.pokellector.com/326/Tsareena-V.S8.11.40362.thumb.png,Sword & Shield Series,S8,Fusion ARTS Set
11,#12 - Growlithe,https://den-cards.pokellector.com/326/Growlithe.S8.12.40429.thumb.png,Sword & Shield Series,S8,Fusion ARTS Set
12,#13 - Arcanine,https://den-cards.pokellector.com/326/Arcanine.S8.13.40430.thumb.png,Sword & Shield Series,S8,Fusion ARTS Set
