,card_name,card_img_url,series,ext_code,ext_name
0,#1 - Venusaur V,https://den-cards.pokellector.com/337/Venusaur-V.SI.1.40417.thumb.png,Sword & Shield Series,SI,Start Deck 100 Set
1,#2 - Caterpie,https://den-cards.pokellector.com/337/Caterpie.SI.2.42001.thumb.png,Sword & Shield Series,SI,Start Deck 100 Set
2,#3 - Metapod,https://den-cards.pokellector.com/337/Metapod.SI.3.42002.thumb.png,Sword & Shield Series,SI,Start Deck 100 Set
3,#4 - Butterfree,https://den-cards.pokellector.com/337/Butterfree.SI.4.42003.thumb.png,Sword & Shield Series,SI,Start Deck 100 Set
4,#5 - Yanma,https://den-cards.pokellector.com/337/Yanma.SI.5.42004.thumb.png,Sword & Shield Series,SI,Start Deck 100 Set
5,#6 - Yanmega,https://den-cards.pokellector.com/337/Yanmega.SI.6.42005.thumb.png,Sword & Shield Series,SI,Start Deck 100 Set
6,#7 - Heracross,https://den-cards.pokellector.com/337/Heracross.SI.7.42006.thumb.png,Sword & Shield Series,SI,Start Deck 100 Set
7,#8 - Shroomish,https://den-cards.pokellector.com/337/Shroomish.SI.8.42007.thumb.png,Sword & Shield Series,SI,Start Deck 100 Set
8,#9 - Breloom,https://den-cards.pokellector.com/337/Breloom.SI.9.42008.thumb.png,Sword & Shield Series,SI,Start Deck 100 Set
9,#10 - Cacnea,https://den-cards.pokellector.com/337/Cacnea.SI.10.42009.thumb.png,Sword & Shield Series,SI,Start Deck 100 Set
10,#11 - Cacturne,https://den-cards.pokellector.com/337/Cacturne.SI.11.42010.thumb.png,Sword & Shield Series,SI,Start Deck 100 Set
11,#12 - Tropius,https://den-cards.pokellector.com/337/Tropius.SI.12.42011.thumb.png,Sword & Shield Series,SI,Start Deck 100 Set
12,#13 - Tropius,https://den-cards.pokellector.com/337/Tropius.SI.13.42012.thumb.png,Sword & Shield Series,SI,Start Deck 100 Set
13,#14 - Kricketune V,https://den-cards.pokellector.com/337/Kricketune-V.SI.14.42013.thumb.png,Sword & Shield Series,SI,Start Deck 100 Set
