,card_name,card_img_url,series,ext_code,ext_name
0,#1 - Weedle,https://den-cards.pokellector.com/338/Weedle.S8B.1.41281.thumb.png,Sword & Shield Series,S8B,VMAX Climax Set
1,#2 - Kakuna,https://den-cards.pokellector.com/338/Kakuna.S8B.2.41282.thumb.png,Sword & Shield Series,S8B,VMAX Climax Set
2,#3 - Beedrill,https://den-cards.pokellector.com/338/Beedrill.S8B.3.41283.thumb.png,Sword & Shield Series,S8B,VMAX Climax Set
3,#4 - Kricketune V,https://den-cards.pokellector.com/338/Kricketune-V.S8B.4.41284.thumb.png,Sword & Shield Series,S8B,VMAX Climax Set
4,#5 - Cherubi,https://den-cards.pokellector.com/338/Cherubi.S8B.5.41253.thumb.png,Sword & Shield Series,S8B,VMAX Climax Set
5,#6 - Cherrim,https://den-cards.pokellector.com/338/Cherrim.S8B.6.41285.thumb.png,Sword & Shield Series,S8B,VMAX Climax Set
6,#7 - Snover,https://den-cards.pokellector.com/338/Snover.S8B.7.41286.thumb.png,Sword & Shield Series,S8B,VMAX Climax Set
7,#8 - Abomasnow,https://den-cards.pokellector.com/338/Abomasnow.S8B.8.41287.thumb.png,Sword & Shield Series,S8B,VMAX Climax Set
8,#9 - Blipbug,https://den-cards.pokellector.com/338/Blipbug.S8B.9.41288.thumb.png,Sword & Shield Series,S8B,VMAX Climax Set
9,#10 - Orbeetle V,https://den-cards.pokellector.com/338/Orbeetle-V.S8B.10.41289.thumb.png,Sword & Shield Series,S8B,VMAX Climax Set
10,#11 - Orbeetle VMAX,https://den-cards.pokellector.com/338/Orbeetle-VMAX.S8B.11.41290.thumb.png,Sword & Shield Series,S8B,VMAX Climax Set
11,#12 - Applin,https://den-cards.pokellector.com/338/Applin.S8B.12.41291.thumb.png,Sword & Shield Series,S8B,VMAX Climax Set
12,#13 - Flapple,https://den-cards.pokellector.com/338/Flapple.S8B.13.41292.thumb.png,Sword & Shield Series,S8B,VMAX Climax Set
13,#14 - Zarude,https://den-cards.pokellector.com/338/Zarude.S8B.14.41293.thumb.png,Sword & Shield Series,S8B,VMAX Climax Set
14,#15 - Charmander,https://den-cards.pokellector.com/338/Charmander.S8B.15.41294.thumb.png,Sword & Shield Series,S8B,VMAX Climax Set
15,#16 - Charmeleon,https://den-cards.pokellector.com/338/Charmeleon.S8B.16.41295.thumb.png,Sword & Shield Series,S8B,VMAX Climax Set
16,#17 - Charizard,https://den-cards.pokellector.com/338/Charizard.S8B.17.41261.thumb.png,Sword & Shield Series,S8B,VMAX Climax Set
17,#18 - Flareon,https://den-cards.pokellector.com/338/Flareon.S8B.18.41296.thumb.png,Sword & Shield Series,S8B,VMAX Climax Set
18,#19 - Blaziken V,https://den-cards.pokellector.com/338/Blaziken-V.S8B.19.40978.thumb.png,Sword & Shield Series,S8B,VMAX Climax Set
19,#20 - Blaziken VMAX,https://den-cards.pokellector.com/338/Blaziken-VMAX.S8B.20.41297.thumb.png,Sword & Shield Series,S8B,VMAX Climax Set
20,#21 - Castform Sunny Form,https://den-cards.pokellector.com/338/Castform-Sunny-Form.S8B.21.41298.thumb.png,Sword & Shield Series,S8B,VMAX Climax Set
21,#22 - Centiskorch V,https://den-cards.pokellector.com/338/Centiskorch-V.S8B.22.41299.thumb.png,Sword & Shield Series,S8B,VMAX Climax Set
22,#23 - Centiskorch VMAX,https://den-cards.pokellector.com/338/Centiskorch-VMAX.S8B.23.41300.thumb.png,Sword & Shield Series,S8B,VMAX Climax Set
