,card_name,card_img_url,series,ext_code,ext_name
0,#1 - Pikachu,https://den-cards.pokellector.com/327/Pikachu.S8A.1.39585.thumb.png,Sword & Shield Series,S8A,25th Anniversary Collection Set
1,#2 - Mew,https://den-cards.pokellector.com/327/Mew.S8A.2.39422.thumb.png,Sword & Shield Series,S8A,25th Anniversary Collection Set
2,#3 - Professor's Research,https://den-cards.pokellector.com/327/Professorss-Research.S8A.3.39863.thumb.png,Sword & Shield Series,S8A,25th Anniversary Collection Set
3,#4 - Ho-Oh,https://den-cards.pokellector.com/327/Ho-Oh.S8A.4.40609.thumb.png,Sword & Shield Series,S8A,25th Anniversary Collection Set
4,#5 - Lugia,https://den-cards.pokellector.com/327/Lugia.S8A.5.40075.thumb.png,Sword & Shield Series,S8A,25th Anniversary Collection Set
5,#6 - Groudon,https://den-cards.pokellector.com/327/Groudon.S8A.6.40351.thumb.png,Sword & Shield Series,S8A,25th Anniversary Collection Set
6,#7 - Kyogre,https://den-cards.pokellector.com/327/Kyogre.S8A.7.40610.thumb.png,Sword & Shield Series,S8A,25th Anniversary Collection Set
7,#8 - Dialga,https://den-cards.pokellector.com/327/Dialga.S8A.8.40364.thumb.png,Sword & Shield Series,S8A,25th Anniversary Collection Set
8,#9 - Palkia,https://den-cards.pokellector.com/327/Palkia.S8A.9.40611.thumb.png,Sword & Shield Series,S8A,25th Anniversary Collection Set
9,#10 - Reshiram,https://den-cards.pokellector.com/327/Reshiram.S8A.10.40612.thumb.png,Sword & Shield Series,S8A,25th Anniversary Collection Set
10,#11 - Zekrom,https://den-cards.pokellector.com/327/Zekrom.S8A.11.40613.thumb.png,Sword & Shield Series,S8A,25th Anniversary Collection Set
11,#12 - Xerneas,https://den-cards.pokellector.com/327/Xerneas.S8A.12.40514.thumb.png,Sword & Shield Series,S8A,25th Anniversary Collection Set
12,#13 - Yveltal,https://den-cards.pokellector.com/327/Yveltal.S8A.13.40614.thumb.png,Sword & Shield Series,S8A,25th Anniversary Collection Set
13,#14 - Cosmog,https://den-cards.pokellector.com/327/Cosmog.S8A.14.40511.thumb.png,Sword & Shield Series,S8A,25th Anniversary Collection Set
14,#15 - Cosmoem,https://den-cards.pokellector.com/327/Cosmoem.S8A.15.40510.thumb.png,Sword & Shield Series,S8A,25th Anniversary Collection Set
15,#16 - Solgaleo,https://den-cards.pokellector.com/327/Solgaleo.S8A.16.40615.thumb.png,Sword & Shield Series,S8A,25th Anniversary Collection Set
16,#17 - Lunala,https://den-cards.pokellector.com/327/Lunala.S8A.17.40353.thumb.png,Sword & Shield Series,S8A,25th Anniversary Collection Set
17,#18 - Zacian V,https://den-cards.pokellector.com/327/Zacian-V.S8A.18.40517.thumb.png,Sword & Shield Series,S8A,25th Anniversary Collection Set
