,card_name,card_img_url,series,ext_code,ext_name
0,#1 - Oddish,https://den-cards.pokellector.com/339/Oddish.S9A.1.43094.thumb.png,Sword & Shield Series,S9A,Battle Region Set
1,#2 - Gloom,https://den-cards.pokellector.com/339/Gloom.S9A.2.43095.thumb.png,Sword & Shield Series,S9A,Battle Region Set
2,#3 - Vileplume,https://den-cards.pokellector.com/339/Vileplume.S9A.3.43096.thumb.png,Sword & Shield Series,S9A,Battle Region Set
3,#4 - Scyther,https://den-cards.pokellector.com/339/Scyther.S9A.4.42886.thumb.png,Sword & Shield Series,S9A,Battle Region Set
4,#5 - Heracross,https://den-cards.pokellector.com/339/Heracross.S9A.5.43097.thumb.png,Sword & Shield Series,S9A,Battle Region Set
5,#6 - Roselia,https://den-cards.pokellector.com/339/Roselia.S9A.6.43098.thumb.png,Sword & Shield Series,S9A,Battle Region Set
6,#7 - Roserade,https://den-cards.pokellector.com/339/Roserade.S9A.7.43099.thumb.png,Sword & Shield Series,S9A,Battle Region Set
7,#8 - Combee,https://den-cards.pokellector.com/339/Combee.S9A.8.42885.thumb.png,Sword & Shield Series,S9A,Battle Region Set
8,#9 - Vespiquen,https://den-cards.pokellector.com/339/Vespiquen.S9A.9.42884.thumb.png,Sword & Shield Series,S9A,Battle Region Set
9,#10 - Virizion V,https://den-cards.pokellector.com/339/Virizion-V.S9A.10.42883.thumb.png,Sword & Shield Series,S9A,Battle Region Set
10,#11 - Sparkling Heatran,https://den-cards.pokellector.com/339/Sparkling-Heatan.S9A.11.43100.thumb.png,Sword & Shield Series,S9A,Battle Region Set
11,#12 - Litwick,https://den-cards.pokellector.com/339/Litwick.S9A.12.42668.thumb.png,Sword & Shield Series,S9A,Battle Region Set
12,#13 - Lampent,https://den-cards.pokellector.com/339/Lampent.S9A.13.42669.thumb.png,Sword & Shield Series,S9A,Battle Region Set
13,#14 - Chandelure,https://den-cards.pokellector.com/339/Chandelure.S9A.14.42670.thumb.png,Sword & Shield Series,S9A,Battle Region Set
14,#15 - Litleo,https://den-cards.pokellector.com/339/Litleo.S9A.15.43101.thumb.png,Sword & Shield Series,S9A,Battle Region Set
