,card_name,card_img_url,series,ext_code,ext_name
0,#1 - Beedrill V,https://den-cards.pokellector.com/342/Beedrill-V.S10P.1.43305.thumb.png,Sword & Shield Series,S10P,Space Juggler Set
1,#2 - Hisuian Voltorb,https://den-cards.pokellector.com/342/Hisuian-Voltorb.S10P.2.43307.thumb.png,Sword & Shield Series,S10P,Space Juggler Set
2,#3 - Hisuian Electrode,https://den-cards.pokellector.com/342/Hisuian-Electrode.S10P.3.43306.thumb.png,Sword & Shield Series,S10P,Space Juggler Set
3,#4 - Kricketot,https://den-cards.pokellector.com/342/Kricketot.S10P.4.43324.thumb.png,Sword & Shield Series,S10P,Space Juggler Set
4,#5 - Kricketune,https://den-cards.pokellector.com/342/Kricketune.S10P.5.43325.thumb.png,Sword & Shield Series,S10P,Space Juggler Set
5,#6 - Rowlet,https://den-cards.pokellector.com/342/Rowlet.S10P.6.43232.thumb.png,Sword & Shield Series,S10P,Space Juggler Set
6,#7 - Dartrix,https://den-cards.pokellector.com/342/Dartrix.S10P.7.43231.thumb.png,Sword & Shield Series,S10P,Space Juggler Set
7,#8 - Blipbug,https://den-cards.pokellector.com/342/Blipbug.S10P.8.43311.thumb.png,Sword & Shield Series,S10P,Space Juggler Set
8,#9 - Dottler,https://den-cards.pokellector.com/342/Dottler.S10P.9.43312.thumb.png,Sword & Shield Series,S10P,Space Juggler Set
9,#10 - Orbeetle,https://den-cards.pokellector.com/342/Orbeetle.S10P.10.43313.thumb.png,Sword & Shield Series,S10P,Space Juggler Set
10,#11 - Ponyta,https://den-cards.pokellector.com/342/Ponyta.S10P.11.43304.thumb.png,Sword & Shield Series,S10P,Space Juggler Set
11,#12 - Rapidash,https://den-cards.pokellector.com/342/Rapidash.S10P.12.43303.thumb.png,Sword & Shield Series,S10P,Space Juggler Set
12,#19 - Regice,https://den-cards.pokellector.com/342/Regice.S10P.19.43282.thumb.png,Sword & Shield Series,S10P,Space Juggler Set
13,#21 - Glaceon,https://den-cards.pokellector.com/342/Glaceon.S10P.21.43254.thumb.png,Sword & Shield Series,S10P,Space Juggler Set
14,#22 - Origin Palkia V,https://den-cards.pokellector.com/342/Origin-Palkia-V.S10P.22.43227.thumb.png,Sword & Shield Series,S10P,Space Juggler Set
15,#23 - Origin Palkia VSTAR,https://den-cards.pokellector.com/342/Origin-Palkia-VSTAR.S10P.23.43228.thumb.png,Sword & Shield Series,S10P,Space Juggler Set
16,#26 - Togepi,https://den-cards.pokellector.com/342/Togepi.S10P.26.43332.thumb.png,Sword & Shield Series,S10P,Space Juggler Set
17,#27 - Togetic,https://den-cards.pokellector.com/342/Togetic.S10P.27.43333.thumb.png,Sword & Shield Series,S10P,Space Juggler Set
18,#27 - Togetic,https://den-cards.pokellector.com/342/Togetic.S10P.27.43334.thumb.png,Sword & Shield Series,S10P,Space Juggler Set
19,#28 - Togekiss,https://den-cards.pokellector.com/342/Togekiss.S10P.28.43335.thumb.png,Sword & Shield Series,S10P,Space Juggler Set
20,#29 - Uxie,https://den-cards.pokellector.com/342/Uxie.S10P.29.43274.thumb.png,Sword & Shield Series,S10P,Space Juggler Set
21,#30 - Mesprit,https://den-cards.pokellector.com/342/Mesprit.S10P.30.43275.thumb.png,Sword & Shield Series,S10P,Space Juggler Set
22,#31 - Azelf,https://den-cards.pokellector.com/342/Azelf.S10P.31.43276.thumb.png,Sword & Shield Series,S10P,Space Juggler Set
23,#36 - Regirock,https://den-cards.pokellector.com/342/Regirock.S10P.36.43280.thumb.png,Sword & Shield Series,S10P,Space Juggler Set
24,#39 - Hisuian Decidueye,https://den-cards.pokellector.com/342/Hisuian-Decidueye.S10P.39.43230.thumb.png,Sword & Shield Series,S10P,Space Juggler Set
25,#40 - Kleavor V,https://den-cards.pokellector.com/342/Kleavor-V.S10P.40.43320.thumb.png,Sword & Shield Series,S10P,Space Juggler Set
26,#41 - Kleavor VSTAR,https://den-cards.pokellector.com/342/Kleavor-VSTAR.S10P.41.43315.thumb.png,Sword & Shield Series,S10P,Space Juggler Set
27,#44 - Hisuian Sneasler V,https://den-cards.pokellector.com/342/Hisuian-Sneasler-V.S10P.44.43302.thumb.png,Sword & Shield Series,S10P,Space Juggler Set
28,#46 - Shieldon,https://den-cards.pokellector.com/342/Shieldon.S10P.46.43234.thumb.png,Sword & Shield Series,S10P,Space Juggler Set
29,#47 - Bastiodon,https://den-cards.pokellector.com/342/Bastiodon.S10P.47.43233.thumb.png,Sword & Shield Series,S10P,Space Juggler Set
30,#51 - Regidrago,https://den-cards.pokellector.com/342/Regidrago.S10P.51.43283.thumb.png,Sword & Shield Series,S10P,Space Juggler Set
31,#60 - Energy Loto,https://den-cards.pokellector.com/342/Energy-Loto.S10P.60.43308.thumb.png,Sword & Shield Series,S10P,Space Juggler Set
32,#61 - Unidentified Fossil,https://den-cards.pokellector.com/342/Unidentified-Fossil.S10P.61.43235.thumb.png,Sword & Shield Series,S10P,Space Juggler Set
33,#62 - Hisuian Heavy Ball,https://den-cards.pokellector.com/342/Hisuian-Heavy-Ball.S10P.62.43257.thumb.png,Sword & Shield Series,S10P,Space Juggler Set
34,#64 - Iridia,https://den-cards.pokellector.com/342/Iridia.S10P.64.43229.thumb.png,Sword & Shield Series,S10P,Space Juggler Set
35,#65 - Grant,https://den-cards.pokellector.com/342/Grant.S10P.65.43326.thumb.png,Sword & Shield Series,S10P,Space Juggler Set
36,#67 - Temple of Sinnoh,https://den-cards.pokellector.com/342/Temple-of-Sinnoh.S10P.67.43273.thumb.png,Sword & Shield Series,S10P,Space Juggler Set
