,card_name,card_img_url,series,ext_code,ext_name
0,#1 - Exeggcute,https://den-cards.pokellector.com/336/Exeggcute.S9.1.42555.thumb.png,Sword & Shield Series,S9,Star Birth Set
1,#2 - Exeggutor,https://den-cards.pokellector.com/336/Exeggutor.S9.2.42556.thumb.png,Sword & Shield Series,S9,Star Birth Set
2,#3 - Shroomish,https://den-cards.pokellector.com/336/Shroomish.S9.3.42557.thumb.png,Sword & Shield Series,S9,Star Birth Set
3,#4 - Breloom,https://den-cards.pokellector.com/336/Breloom.S9.4.42558.thumb.png,Sword & Shield Series,S9,Star Birth Set
4,#5 - Tropius,https://den-cards.pokellector.com/336/Tropius.S9.5.42559.thumb.png,Sword & Shield Series,S9,Star Birth Set
5,#6 - Turtwig,https://den-cards.pokellector.com/336/Turtwig.S9.6.41607.thumb.png,Sword & Shield Series,S9,Star Birth Set
6,#7 - Grotle,https://den-cards.pokellector.com/336/Grotle.S9.7.41608.thumb.png,Sword & Shield Series,S9,Star Birth Set
7,#8 - Torterra,https://den-cards.pokellector.com/336/Torterra.S9.8.41609.thumb.png,Sword & Shield Series,S9,Star Birth Set
8,#9 - Burmy,https://den-cards.pokellector.com/336/Burmy.S9.9.42560.thumb.png,Sword & Shield Series,S9,Star Birth Set
9,#10 - Wormadam,https://den-cards.pokellector.com/336/Wormadam.S9.10.42561.thumb.png,Sword & Shield Series,S9,Star Birth Set
10,#11 - Mothim,https://den-cards.pokellector.com/336/Mothim.S9.11.42562.thumb.png,Sword & Shield Series,S9,Star Birth Set
11,#12 - Shaymin V,https://den-cards.pokellector.com/336/Shaymin-V.S9.12.41603.thumb.png,Sword & Shield Series,S9,Star Birth Set
12,#13 - Shaymin VSTAR,https://den-cards.pokellector.com/336/Shaymin-VSTAR.S9.13.41602.thumb.png,Sword & Shield Series,S9,Star Birth Set
13,#14 - Charizard V,https://den-cards.pokellector.com/336/Charizard-V.S9.14.41004.thumb.png,Sword & Shield Series,S9,Star Birth Set
14,#15 - Charizard VSTAR,https://den-cards.pokellector.com/336/Charizard-VSTAR.S9.15.41003.thumb.png,Sword & Shield Series,S9,Star Birth Set
15,#16 - Magmar,https://den-cards.pokellector.com/336/Magmar.S9.16.42563.thumb.png,Sword & Shield Series,S9,Star Birth Set
16,#17 - Magmortar,https://den-cards.pokellector.com/336/Magmortar.S9.17.42564.thumb.png,Sword & Shield Series,S9,Star Birth Set
17,#18 - Moltres,https://den-cards.pokellector.com/336/Moltres.S9.18.41005.thumb.png,Sword & Shield Series,S9,Star Birth Set
