,card_name,card_img_url,series,ext_code,ext_name
0,#3 - Leafeon,https://den-cards.pokellector.com/341/Leafeon.S10D.3.43253.thumb.png,Sword & Shield Series,S10D,Time Gazer Set
1,#4 - Shaymin,https://den-cards.pokellector.com/341/Shaymin.S10D.4.43299.thumb.png,Sword & Shield Series,S10D,Time Gazer Set
2,#7 - Hisuian Liligant V,https://den-cards.pokellector.com/341/Hisuian-Liligant-V.S10D.7.43322.thumb.png,Sword & Shield Series,S10D,Time Gazer Set
3,#8 - Hisuian Lilligant VSTAR,https://den-cards.pokellector.com/341/Hisuian-Liligant-VSTAR.S10D.8.43321.thumb.png,Sword & Shield Series,S10D,Time Gazer Set
4,#9 - Cyndaquil,https://den-cards.pokellector.com/341/Cyndaquil.S10D.9.43242.thumb.png,Sword & Shield Series,S10D,Time Gazer Set
5,#10 - Quilava,https://den-cards.pokellector.com/341/Quilava.S10D.10.43241.thumb.png,Sword & Shield Series,S10D,Time Gazer Set
6,#10 - Quilava,https://den-cards.pokellector.com/341/Quilava.S10D.10.43240.thumb.png,Sword & Shield Series,S10D,Time Gazer Set
7,#11 - Poliwag,https://den-cards.pokellector.com/341/Poliwag.S10D.11.43270.thumb.png,Sword & Shield Series,S10D,Time Gazer Set
8,#12 - Poliwhirl,https://den-cards.pokellector.com/341/Poliwhirl.S10D.12.43269.thumb.png,Sword & Shield Series,S10D,Time Gazer Set
9,#13 - Politoed,https://den-cards.pokellector.com/341/Politoed.S10D.13.43267.thumb.png,Sword & Shield Series,S10D,Time Gazer Set
10,#13 - Politoed,https://den-cards.pokellector.com/341/Politoed.S10D.13.43266.thumb.png,Sword & Shield Series,S10D,Time Gazer Set
11,#15 - Oshawott,https://den-cards.pokellector.com/341/Oshawott.S10D.15.43245.thumb.png,Sword & Shield Series,S10D,Time Gazer Set
12,#16 - Dewott,https://den-cards.pokellector.com/341/Dewott.S10D.16.43244.thumb.png,Sword & Shield Series,S10D,Time Gazer Set
13,#22 - Regieleki,https://den-cards.pokellector.com/341/Regieleki.S10D.22.43279.thumb.png,Sword & Shield Series,S10D,Time Gazer Set
14,#23 - Hisuian Typhloshion,https://den-cards.pokellector.com/341/Hisuian-Typhloshion.S10D.23.43239.thumb.png,Sword & Shield Series,S10D,Time Gazer Set
15,#28 - Cresselia,https://den-cards.pokellector.com/341/Cresselia.S10D.28.43284.thumb.png,Sword & Shield Series,S10D,Time Gazer Set
16,#29 - Hisuian Growlithe,https://den-cards.pokellector.com/341/Hisuian-Growlithe.S10D.29.43286.thumb.png,Sword & Shield Series,S10D,Time Gazer Set
17,#30 - Hisuian Arcanine,https://den-cards.pokellector.com/341/Hisuian-Arcanine.S10D.30.43287.thumb.png,Sword & Shield Series,S10D,Time Gazer Set
18,#30 - Hisuian Arcanine,https://den-cards.pokellector.com/341/Hisuian-Arcanine.S10D.30.43288.thumb.png,Sword & Shield Series,S10D,Time Gazer Set
19,#31 - Poliwrath,https://den-cards.pokellector.com/341/Poliwrath.S10D.31.43268.thumb.png,Sword & Shield Series,S10D,Time Gazer Set
20,#32 - Machamp V,https://den-cards.pokellector.com/341/Machamp-V.S10D.32.43319.thumb.png,Sword & Shield Series,S10D,Time Gazer Set
21,#33 - Machamp VMAX,https://den-cards.pokellector.com/341/Machamp-VMAX.S10D.33.43314.thumb.png,Sword & Shield Series,S10D,Time Gazer Set
22,#35 - Cranidos,https://den-cards.pokellector.com/341/Cranidos.S10D.35.43250.thumb.png,Sword & Shield Series,S10D,Time Gazer Set
23,#36 - Rampardos,https://den-cards.pokellector.com/341/Rampardos.S10D.36.43249.thumb.png,Sword & Shield Series,S10D,Time Gazer Set
24,#41 - Hisuian Samurott,https://den-cards.pokellector.com/341/Hisuian-Samurott.S10D.41.43243.thumb.png,Sword & Shield Series,S10D,Time Gazer Set
25,#43 - Thievul,https://den-cards.pokellector.com/341/Thievul.S10D.43.43336.thumb.png,Sword & Shield Series,S10D,Time Gazer Set
26,#44 - Magnemite,https://den-cards.pokellector.com/341/Magnemite.S10D.44.43248.thumb.png,Sword & Shield Series,S10D,Time Gazer Set
27,#45 - Magneton,https://den-cards.pokellector.com/341/Magneton.S10D.45.43247.thumb.png,Sword & Shield Series,S10D,Time Gazer Set
28,#46 - Magnezone,https://den-cards.pokellector.com/341/Magnezone.S10D.46.43246.thumb.png,Sword & Shield Series,S10D,Time Gazer Set
29,#47 - Registeel,https://den-cards.pokellector.com/341/Registeel.S10D.47.43278.thumb.png,Sword & Shield Series,S10D,Time Gazer Set
30,#48 - Origin Dialga V,https://den-cards.pokellector.com/341/Origin-Dialga-V.S10D.48.43236.thumb.png,Sword & Shield Series,S10D,Time Gazer Set
