,Unnamed: 0,serieName,extensionCode,extensionUrl,extensionName,extensionImageUrl,extensionReleaseDate,extensionCardNumber
0,0,Sword & Shield Series,S10P,https://jp.pokellector.com/sets/S10P-Space-Juggler,Space Juggler Set,https://den-media.pokellector.com/logos/Space-Juggler.logo.342.png,2022-04-08,67
1,1,Sword & Shield Series,S10D,https://jp.pokellector.com/sets/S10D-Time-Gazer,Time Gazer Set,https://den-media.pokellector.com/logos/Time-Gazer.logo.341.png,2022-04-08,67
2,2,Sword & Shield Series,S9A,https://jp.pokellector.com/sets/S9A-Battle-Region,Battle Region Set,https://den-media.pokellector.com/logos/Battle-Region.logo.339.png,2022-02-25,67
3,3,Sword & Shield Series,S9,https://jp.pokellector.com/sets/S9-Star-Birth,Star Birth Set,https://den-media.pokellector.com/logos/Star-Birth.logo.336.png,2022-01-14,100
4,4,Sword & Shield Series,SI,https://jp.pokellector.com/sets/SI-Start-Deck-100,Start Deck 100 Set,https://den-media.pokellector.com/logos/Start-Deck-100.logo.337.png,2021-12-17,414
5,5,Sword & Shield Series,S8B,https://jp.pokellector.com/sets/S8B-VMAX-Climax,VMAX Climax Set,https://den-media.pokellector.com/logos/VMAX-Climax.logo.338.png,2021-12-03,284
6,6,Sword & Shield Series,S8A,https://jp.pokellector.com/sets/S8A-25th-Anniversary-Collection,25th Anniversary Collection Set,https://den-media.pokellector.com/logos/25th-Anniversary-Collection.logo.327.png,2021-10-22,28
7,7,Sword & Shield Series,S8AP,https://jp.pokellector.com/sets/S8AP-25th-Anniversary-Promo-Pack,25th Anniversary Promo Pack Set,https://den-media.pokellector.com/logos/25th-Anniversary-Promo-Pack.logo.328.png,2021-10-22,25
8,8,Sword & Shield Series,S8,https://jp.pokellector.com/sets/S8-Fusion-ARTS,Fusion ARTS Set,https://den-media.pokellector.com/logos/Fusion-ARTS.logo.326.png,2021-09-24,100
9,9,Sword & Shield Series,S7R,https://jp.pokellector.com/sets/S7R-Blue-Sky-Stream,Blue Sky Stream Set,https://den-media.pokellector.com/logos/Blue-Sky-Stream.logo.319.png,2021-07-09,67
10,10,Sword & Shield Series,S7D,https://jp.pokellector.com/sets/S7D-Towering-Perfection,Towering Perfection Set,https://den-media.pokellector.com/logos/Perfect-Skyscraper.logo.318.png,2021-07-09,67
11,11,Sword & Shield Series,S6A,https://jp.pokellector.com/sets/S6A-Eevee-Heroes,Eevee Heroes Set,https://den-media.pokellector.com/logos/Eevee-Heroes.logo.322.png,2021-05-28,69
12,12,Sword & Shield Series,S6K,https://jp.pokellector.com/sets/S6K-Jet-Black-Spirit,Jet Black Spirit Set,https://den-media.pokellector.com/logos/Jet-Black-Poltergeist.logo.310.png,2021-04-23,70
13,13,Sword & Shield Series,S6H,https://jp.pokellector.com/sets/S6H-Silver-Lance,Silver Lance Set,https://den-media.pokellector.com/logos/Silver-Lance.logo.309.png,2021-04-23,70
14,14,Sword & Shield Series,S5A,https://jp.pokellector.com/sets/S5A-Matchless-Fighter,Matchless Fighter Set,https://den-media.pokellector.com/logos/Matchless-Fighter.logo.308.png,2021-03-19,95
15,15,Sword & Shield Series,S5R,https://jp.pokellector.com/sets/S5R-Rapid-Strike-Master,Rapid Strike Master Set,https://den-media.pokellector.com/logos/Rapid-Strike-Master.logo.307.png,2021-01-22,70
16,16,Sword & Shield Series,S5I,https://jp.pokellector.com/sets/S5I-Single-Strike-Master,Single Strike Master Set,https://den-media.pokellector.com/logos/Single-Strike-Master.logo.306.png,2021-01-22,70
17,17,Sword & Shield Series,S4A,https://jp.pokellector.com/sets/S4A-Shiny-Star-V,Shiny Star V Set,https://den-media.pokellector.com/logos/Shiny-Star-V.logo.301.png,2020-11-20,190
18,18,Sword & Shield Series,S4,https://jp.pokellector.com/sets/S4-Electrifying-Tackle,Electrifying Tackle Set,https://den-media.pokellector.com/logos/Electrifying-Tackle.logo.297.png,2020-09-18,100
19,19,Sword & Shield Series,S3A,https://jp.pokellector.com/sets/S3A-Legendary-Pulse,Legendary Pulse Set,https://den-media.pokellector.com/logos/Legendary-Pulse.logo.294.png,2020-07-10,76
20,20,Sword & Shield Series,S3,https://jp.pokellector.com/sets/S3-Infinity-Zone,Infinity Zone Set,https://den-media.pokellector.com/logos/Infinity-Zone.logo.293.png,2020-06-05,100
21,21,Sword & Shield Series,S2A,https://jp.pokellector.com/sets/S2A-Explosive-Flame-Walker,Explosive Flame Walker Set,https://den-media.pokellector.com/logos/Explosive-Flame-Walker.logo.295.png,2020-04-24,86
22,22,Sword & Shield Series,S2,https://jp.pokellector.com/sets/S2-Rebellion-Crash,Rebellion Crash Set,https://den-media.pokellector.com/logos/Rebellion-Crash.logo.291.png,2020-03-06,96
